kinase	substrate	marker	q	gps	biogrid	fasolo	parca	fiedler	EMAP	yeastkid	netphorest	networkin	networkin STRING	networkin_biogrid	activation	binding	catalysis	expression	inhibition	ptmod	reaction	undirected	ptacek	n_datasets	goldstandard1	goldstandard2	goldstandard3	goldstandard4
YAR018C	YBR112C	-0.0118734376640403	0.489750209471172	0.000203							0.11327	0.5217	0.1745	0.5209										4				
YAR018C	YBR150C	0.0255209031807702	0.0691128320457665	0.000250							0.190283	0.8885	0.1117	0.1315										4				
YAR018C	YBR182C	0.00579376918393334	0.679484392441988	0.000194							0.137642	0.5375	0.1688	0.3005										4				
YAR018C	YBR239C	0	0.783105134357029	0.000208							0.129925	0.5325	0.1102											3				
YAR018C	YBR240C	0	0.783105134357029	0.000228							0.204412	1.2378	0.1603											3				
YAR018C	YBR267W	0.00979958727182446	0.5641084960363	0.000192							0.146941	0.6344	0.2874	0.4392										4				
YAR018C	YBR297W	0	0.783105134357029	0.000197							0.175085	0.6603	0.0987											3				
YAR018C	YCL055W	-0.0135638071488478	0.423776315302844	0.000165							0.102225	0.4917	0.1283	0.2644										4				
YAR018C	YCR018C	0.0459482082024832	0.000253173614437956	0.000155							0.186616	0.7981	0.1059	0.3638										4				
YAR018C	YCR065W	0.0148381023114434	0.372437447634929	0.000203							0.13041	0.5928	0.2727	0.5339										4				
YAR018C	YCR084C	-0.0140596678757825	0.403877167445761	0.000210							0.135796	0.5363	0.1668	0.4238										4				
YAR018C	YCR106W	0	0.783105134357029	0.000253							0.16955	0.6562	0.1159											3				
YAR018C	YDL020C	0.0318046936081853	0.0178513411740474	0.000263							0.164507	0.6429	0.2052	0.3816										4				
